"""ar""","""distance"""
"[{""name"":""Darjeeling-Tumbling"",""winter"":""true"",""distance"":10,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]",32
"[{""name"":""Darjeeling-Tumbling"",""winter"":""true"",""distance"":10,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]",32
"[{""name"":""Darjeeling-Tumbling"",""winter"":""true"",""distance"":10,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]",32
"[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Sirikhola"",""winter"":""true"",""distance"":4,""summer"":""true""},{""name"":""Sirikhola-Gurdum"",""winter"":""true"",""distance"":6,""summer"":""true""},{""name"":""Gurdum-Sandakphu"",""winter"":""true"",""distance"":12,""summer"":""true""}]",37
"[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Sirikhola"",""winter"":""true"",""distance"":4,""summer"":""true""},{""name"":""Sirikhola-Gurdum"",""winter"":""true"",""distance"":6,""summer"":""true""},{""name"":""Gurdum-Sandakphu"",""winter"":""true"",""distance"":12,""summer"":""true""}]",37
"[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Sirikhola"",""winter"":""true"",""distance"":4,""summer"":""true""},{""name"":""Sirikhola-Gurdum"",""winter"":""true"",""distance"":6,""summer"":""true""},{""name"":""Gurdum-Sandakphu"",""winter"":""true"",""distance"":12,""summer"":""true""}]",37
"[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Sirikhola"",""winter"":""true"",""distance"":4,""summer"":""true""},{""name"":""Sirikhola-Gurdum"",""winter"":""true"",""distance"":6,""summer"":""true""},{""name"":""Gurdum-Sandakphu"",""winter"":""true"",""distance"":12,""summer"":""true""}]",37
"[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Sirikhola"",""winter"":""true"",""distance"":4,""summer"":""true""},{""name"":""Sirikhola-Gurdum"",""winter"":""true"",""distance"":6,""summer"":""true""},{""name"":""Gurdum-Sandakphu"",""winter"":""true"",""distance"":12,""summer"":""true""}]",37
"[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Sirikhola"",""winter"":""true"",""distance"":4,""summer"":""true""},{""name"":""Sirikhola-Gurdum"",""winter"":""true"",""distance"":6,""summer"":""true""},{""name"":""Gurdum-Sandakphu"",""winter"":""true"",""distance"":12,""summer"":""true""}]",37
"[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Sirikhola"",""winter"":""true"",""distance"":4,""summer"":""true""},{""name"":""Sirikhola-Gurdum"",""winter"":""true"",""distance"":6,""summer"":""true""},{""name"":""Gurdum-Sandakphu"",""winter"":""true"",""distance"":12,""summer"":""true""}]",37
"[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-BhikeBhanja"",""winter"":""true"",""distance"":18,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]",37
"[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Sirikhola"",""winter"":""true"",""distance"":4,""summer"":""true""},{""name"":""Sirikhola-Gurdum"",""winter"":""true"",""distance"":6,""summer"":""true""},{""name"":""Gurdum-Sandakphu"",""winter"":""true"",""distance"":12,""summer"":""true""}]",37
"[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Sirikhola"",""winter"":""true"",""distance"":4,""summer"":""true""},{""name"":""Sirikhola-Gurdum"",""winter"":""true"",""distance"":6,""summer"":""true""},{""name"":""Gurdum-Sandakphu"",""winter"":""true"",""distance"":12,""summer"":""true""}]",37
"[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Sirikhola"",""winter"":""true"",""distance"":4,""summer"":""true""},{""name"":""Sirikhola-Gurdum"",""winter"":""true"",""distance"":6,""summer"":""true""},{""name"":""Gurdum-Sandakphu"",""winter"":""true"",""distance"":12,""summer"":""true""}]",37
"[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Sirikhola"",""winter"":""true"",""distance"":4,""summer"":""true""},{""name"":""Sirikhola-Gurdum"",""winter"":""true"",""distance"":6,""summer"":""true""},{""name"":""Gurdum-Sandakphu"",""winter"":""true"",""distance"":12,""summer"":""true""}]",37
"[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Sirikhola"",""winter"":""true"",""distance"":4,""summer"":""true""},{""name"":""Sirikhola-Gurdum"",""winter"":""true"",""distance"":6,""summer"":""true""},{""name"":""Gurdum-Sandakphu"",""winter"":""true"",""distance"":12,""summer"":""true""}]",37
"[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Sirikhola"",""winter"":""true"",""distance"":4,""summer"":""true""},{""name"":""Sirikhola-Gurdum"",""winter"":""true"",""distance"":6,""summer"":""true""},{""name"":""Gurdum-Sandakphu"",""winter"":""true"",""distance"":12,""summer"":""true""}]",37
"[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Sirikhola"",""winter"":""true"",""distance"":4,""summer"":""true""},{""name"":""Sirikhola-Gurdum"",""winter"":""true"",""distance"":6,""summer"":""true""},{""name"":""Gurdum-Sandakphu"",""winter"":""true"",""distance"":12,""summer"":""true""}]",37
"[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Sirikhola"",""winter"":""true"",""distance"":4,""summer"":""true""},{""name"":""Sirikhola-Gurdum"",""winter"":""true"",""distance"":6,""summer"":""true""},{""name"":""Gurdum-Sandakphu"",""winter"":""true"",""distance"":12,""summer"":""true""}]",37
"[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Sirikhola"",""winter"":""true"",""distance"":4,""summer"":""true""},{""name"":""Sirikhola-Gurdum"",""winter"":""true"",""distance"":6,""summer"":""true""},{""name"":""Gurdum-Sandakphu"",""winter"":""true"",""distance"":12,""summer"":""true""}]",37
"[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-BhikeBhanja"",""winter"":""true"",""distance"":18,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]",37
"[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Sirikhola"",""winter"":""true"",""distance"":4,""summer"":""true""},{""name"":""Sirikhola-Gurdum"",""winter"":""true"",""distance"":6,""summer"":""true""},{""name"":""Gurdum-Sandakphu"",""winter"":""true"",""distance"":12,""summer"":""true""}]",37
"[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Sirikhola"",""winter"":""true"",""distance"":4,""summer"":""true""},{""name"":""Sirikhola-Gurdum"",""winter"":""true"",""distance"":6,""summer"":""true""},{""name"":""Gurdum-Sandakphu"",""winter"":""true"",""distance"":12,""summer"":""true""}]",37
"[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Sirikhola"",""winter"":""true"",""distance"":4,""summer"":""true""},{""name"":""Sirikhola-Gurdum"",""winter"":""true"",""distance"":6,""summer"":""true""},{""name"":""Gurdum-Sandakphu"",""winter"":""true"",""distance"":12,""summer"":""true""}]",37
"[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Sirikhola"",""winter"":""true"",""distance"":4,""summer"":""true""},{""name"":""Sirikhola-Gurdum"",""winter"":""true"",""distance"":6,""summer"":""true""},{""name"":""Gurdum-Sandakphu"",""winter"":""true"",""distance"":12,""summer"":""true""}]",37
"[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-BhikeBhanja"",""winter"":""true"",""distance"":18,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]",37
"[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Sirikhola"",""winter"":""true"",""distance"":4,""summer"":""true""},{""name"":""Sirikhola-Gurdum"",""winter"":""true"",""distance"":6,""summer"":""true""},{""name"":""Gurdum-Sandakphu"",""winter"":""true"",""distance"":12,""summer"":""true""}]",37
"[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Sirikhola"",""winter"":""true"",""distance"":4,""summer"":""true""},{""name"":""Sirikhola-Gurdum"",""winter"":""true"",""distance"":6,""summer"":""true""},{""name"":""Gurdum-Sandakphu"",""winter"":""true"",""distance"":12,""summer"":""true""}]",37
"[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Sirikhola"",""winter"":""true"",""distance"":4,""summer"":""true""},{""name"":""Sirikhola-Gurdum"",""winter"":""true"",""distance"":6,""summer"":""true""},{""name"":""Gurdum-Sandakphu"",""winter"":""true"",""distance"":12,""summer"":""true""}]",37
"[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Sirikhola"",""winter"":""true"",""distance"":4,""summer"":""true""},{""name"":""Sirikhola-Gurdum"",""winter"":""true"",""distance"":6,""summer"":""true""},{""name"":""Gurdum-Sandakphu"",""winter"":""true"",""distance"":12,""summer"":""true""}]",37
"[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Tumbling"",""winter"":""true"",""distance"":7,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]",44
"[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Tumbling"",""winter"":""true"",""distance"":7,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]",44
"[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Tumbling"",""winter"":""true"",""distance"":7,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]",44
"[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Tumbling"",""winter"":""true"",""distance"":7,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]",44
"[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Tumbling"",""winter"":""true"",""distance"":7,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]",44
"[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Tumbling"",""winter"":""true"",""distance"":7,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]",44
"[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Tumbling"",""winter"":""true"",""distance"":7,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]",44
"[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Tumbling"",""winter"":""true"",""distance"":7,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]",44
"[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Tumbling"",""winter"":""true"",""distance"":7,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]",44
"[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Tumbling"",""winter"":""true"",""distance"":7,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]",44
"[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Tumbling"",""winter"":""true"",""distance"":7,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]",44
"[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Tumbling"",""winter"":""true"",""distance"":7,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]",44
"[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Tumbling"",""winter"":""true"",""distance"":7,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]",44
"[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Tumbling"",""winter"":""true"",""distance"":7,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]",44
"[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Tumbling"",""winter"":""true"",""distance"":7,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]",44
"[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Tumbling"",""winter"":""true"",""distance"":7,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]",44
"[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Tumbling"",""winter"":""true"",""distance"":7,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]",44
"[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Tumbling"",""winter"":""true"",""distance"":7,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]",44
"[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Tumbling"",""winter"":""true"",""distance"":7,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]",44
"[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Tumbling"",""winter"":""true"",""distance"":7,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]",44
"[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Tumbling"",""winter"":""true"",""distance"":7,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]",44
"[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Tumbling"",""winter"":""true"",""distance"":7,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]",44
"[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Tumbling"",""winter"":""true"",""distance"":7,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]",44
"[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Tumbling"",""winter"":""true"",""distance"":7,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]",44
